task_epoch,raw-plannerADE1,raw-plannerFDE1,raw-plannerADE2,raw-plannerFDE2,raw-plannerADE3,raw-plannerFDE3,before-plannerADE1,before-plannerFDE1,before-plannerADE2,before-plannerFDE2,before-plannerADE3,before-plannerFDE3,init-plannerADE1,init-plannerFDE1,init-plannerADE2,init-plannerFDE2,init-plannerADE3,init-plannerFDE3,after-plannerADE1,after-plannerFDE1,after-plannerADE2,after-plannerFDE2,after-plannerADE3,after-plannerFDE3
1,0.05795148052275181,0.12504840408052717,0.17937571853399276,0.41073944909232,0.8126554489135742,4.080623074940273,0.1655151584318706,0.3453701542956488,0.4076632082462311,0.6489255087716239,0.8488542420523507,3.1317609310150147,0.16357976900679724,0.3411217076437814,0.4024740048817226,0.644212634222848,0.8448899132864816,3.1187790938786097,0.16303666340453285,0.34002735359328135,0.40129858766283305,0.6429979835237776,0.8436621120997838,3.1118254457201275
2,0.05794073955288955,0.12499102417911802,0.17774061624492918,0.4092750796249935,0.799554625579289,3.993172345842634,0.16651852322476252,0.347420306290899,0.40782441667148045,0.6498883647578103,0.840073231288365,3.06865702356611,0.158279776679618,0.33034771531820295,0.3908640912600926,0.6357512882777623,0.8265385253088815,3.0012388501848495,0.15778403005429675,0.32933704789195745,0.3900312112910407,0.6353707960673741,0.8258968370301383,2.9980306012289866
3,0.05792392800961222,0.12495470302445548,0.17642467277390617,0.40060100725718906,0.802750039100647,4.040788269042968,0.16695031289543424,0.34757791672434124,0.40617340888295855,0.6483144164085388,0.851737426008497,3.139868109566825,0.15541918107441494,0.3239863531930106,0.3833803270544325,0.6362628864390509,0.8338011537279402,3.0479276180267334,0.1552056235926492,0.323529093180384,0.38303627627236503,0.6365316829511097,0.8335139904703412,3.045625802448818
4,0.05791430207235473,0.1248961825455938,0.17647287930761066,0.4002820798328945,0.7921275751931327,3.9764120374407086,0.16645191780158453,0.3470765207495008,0.40726041666099005,0.6446514325482505,0.8353072353771754,3.0533786024366107,0.15270751576338495,0.3183033061879022,0.3806042117731912,0.6350019216537476,0.8116247091974531,2.915885216849191,0.15259215331503323,0.31801296600273676,0.38021162663187297,0.6349259410585676,0.8111567599432808,2.912723629815238
5,0.057940743437835146,0.12499864963548524,0.1766774948154177,0.40350207430975776,0.7930096336773463,3.9774575097220284,0.16503106142793383,0.34432974798338756,0.4069001282964434,0.6538412613528115,0.8389681884220668,3.0405596460614888,0.15128652464066233,0.3153721564582416,0.38263114052159447,0.6576291808060237,0.8172632847513471,2.861912529809134,0.15128144738929614,0.3153738941465105,0.38285107825483594,0.6584060515676226,0.8173191291945321,2.8593913555145263
6,0.05792653863983495,0.12498090852584158,0.17770387551614217,0.40312166554587225,0.7942754592214312,3.9666546957833426,0.1656846644622939,0.34522222663675034,0.40914235327925,0.6566714244229453,0.8387343304497855,3.020535264696394,0.15260512509516308,0.31840405804770333,0.3882484904357365,0.6650995756898608,0.8213838032313756,2.8546232632228308,0.15255139746836255,0.31836324781179426,0.38878722190856935,0.6664037338324955,0.8218023589679173,2.853410107748849
7,0.05793708908770766,0.12499820004616465,0.17605116239615848,0.39637839453560963,0.7940300754138402,3.9878133705684116,0.16649949210030693,0.3467973598412105,0.4065106234380177,0.6447904433522905,0.8366350395338876,3.058835404259818,0.15322105033057076,0.320172153200422,0.3945873341390065,0.6795537046023777,0.822075423172542,2.8346862043653216,0.15334250235131808,0.3204168417624065,0.3948283565895898,0.6800597080162594,0.8222168615886143,2.8336602551596504
8,0.05792482601744788,0.12494609004684858,0.17744131407567432,0.411171680688858,0.811607733794621,4.082825878688268,0.16698634901217052,0.34754464668887003,0.4068480806691306,0.647341867855617,0.8436796886580331,3.085642283303397,0.15393026119896344,0.3213815310171672,0.3951451918908528,0.6842749255044119,0.831017621925899,2.862959248679025,0.15378122542585645,0.32109023290021077,0.3949092294488634,0.6839555093220302,0.8308111667633057,2.862391948699951
9,0.05791299417614937,0.12493617130177362,0.17838697305747442,0.4107968739100865,0.7962615660258702,3.9756207738603866,0.16693931562559947,0.34771934875420163,0.4087801260607583,0.6603230740342821,0.8416431818689619,3.0283596515655518,0.15312690138816834,0.3204460207905088,0.4003586837223598,0.707396924495697,0.8363853658948626,2.832157700402396,0.15317046578441348,0.32057760868753704,0.40069975086620874,0.7079612714903695,0.8365377817835127,2.8311076504843578
10,0.05792558283678123,0.12496053129434585,0.1774522983602115,0.4032213168484824,0.799428449358259,4.013012688500541,0.1659161403775215,0.34582597485610417,0.4068751160587583,0.6489013203552791,0.8408051933561053,3.069040673119681,0.1522444378052439,0.31883209816047126,0.3996225927557264,0.6935994574001857,0.8312336802482605,2.8660686901637487,0.152478879903044,0.3193016005413873,0.40022862809044973,0.694478473493031,0.8316304785864693,2.8653554507664274
